Umywalki -- Wymiary przyłączeniowe,PN-EN 31+A1:2014-07,{'PN-EN 31:2011'}
Oprawy oświetleniowe -- Część 2-19: Wymagania szczegółowe -- Oprawy oświetleniowe napowietrzane (wymagania bezpieczeństwa),PN-EN 60598-2-19:2002,set()
Oprawy oświetleniowe -- Część 2-20: Wymagania szczegółowe -- Girlandy świetlne,PN-EN 60598-2-20:2015-07,"{'PN-EN 60598-2-20:2010', 'PN-EN 60598-2-20:2010/AC:2010'}"
Oprawy oświetleniowe -- Część 2-21: Wymagania szczegółowe -- Węże świetlne,PN-EN 60598-2-21:2015-07,set()
Oprawy oświetleniowe -- Część 2-22: Wymagania szczegółowe -- Oprawy oświetleniowe do oświetlenia awaryjnego,PN-EN 60598-2-22:2015-01,"{'PN-EN 60598-2-22:2004/AC:2006', 'PN-EN 60598-2-22:2004', 'PN-EN 60598-2-22:2004/A2:2010'}"
Oprawy oświetleniowe -- Część 2-22: Wymagania szczegółowe -- Oprawy oświetleniowe do oświetlenia awaryjnego,PN-EN 60598-2-22:2015-01,"{'PN-EN 60598-2-22:2004/AC:2006', 'PN-EN 60598-2-22:2004', 'PN-EN 60598-2-22:2004/A2:2010'}"
Oprawy oświetleniowe -- Część 2-23: Wymagania szczegółowe -- Systemy oświetleniowe ELV do żarówek,PN-EN 60598-2-23:2005,{'PN-EN 60598-2-23:2002'}
Oprawy oświetleniowe -- Część 2-24: Wymagania szczegółowe -- Oprawy oświetleniowe o ograniczonych temperaturach powierzchni,PN-EN 60598-2-24:2014-02,{'PN-EN 60598-2-24:2008'}
Oprawy oświetleniowe -- Część 2-24: Wymagania szczegółowe -- Oprawy oświetleniowe o ograniczonych temperaturach powierzchni,PN-EN 60598-2-24:2014-02,{'PN-EN 60598-2-24:2008'}
Oprawy oświetleniowe -- Wymagania szczegółowe -- Oprawy oświetleniowe do stosowania w strefach klinicznych szpitali i budynków opieki zdrowotnej,PN-EN 60598-2-25:2000,set()
Szereg fotograficznych lamp błyskowych,PN-EN 60604:2002,set()
Elektryczne przyrządy do przygotowywania żywności -- Metody badań cech funkcjonalnych,PN-EN 60619:2002,set()
"Ogniwa i baterie wtórne zawierające zasadowe lub inne niekwasowe elektrolity -- Pojedyncze ogniwa akumulatorowe niklowo-kadmowe, szczelnie zamknięte, prostopadłościenne",PN-EN 60622:2007,{'PN-EN 60622:2003'}
"Ogniwa i baterie wtórne zawierające zasadowe lub inne niekwasowe elektrolity -- Pojedyncze ogniwa akumulatorowe, niklowo-kadmowe, prostopadłościenne, otwarte",PN-EN 60623:2017-07,{'PN-EN 60623:2007'}
Maksymalne kontury zewnętrzne żarówek,PN-EN 60630:2002,{'PN-E-85630:1993'}
Lampowe probiercze źródła ciepła do przeprowadzania badań nagrzewania opraw oświetleniowych,PN-EN 60634:2002,set()
Wymagania dotyczące wkładek bezpiecznikowych wysokiego napięcia do zabezpieczania obwodów silników,PN-EN 60644:2010,{'PN-EN 60644:2001'}
Badania obciążeniowe konstrukcji wsporczych elektroenergetycznych linii napowietrznych,PN-EN 60652:2006,{'PN-EN 60652:2005'}
Badania izolatorów wsporczych wnętrzowych z tworzyw organicznych do układów na znamionowe napięcie powyżej 1 kV i poniżej 300 kV,PN-EN 60660:2002,{'PN-E-06340:1991'}
Metody pomiaru cech funkcjonalnych elektrycznych przyrządów do parzenia kawy do użytku domowego,PN-EN 60661:2014-11,"{'PN-EN 60661:2002/A2:2006', 'PN-EN 60661:2002', 'PN-EN 60661:2002/A1:2003'}"
Lampy sodowe wysokoprężne -- Wymagania funkcjonalne,PN-EN 60662:2012,{'PN-EN 60662:2002'}
Wentylatory i regulatory prądu przemiennego do użytku domowego i podobnego – Metody pomiarów cech funkcjonalnych,PN-EN IEC 60665:2019-02,set()
Łączniki do stałych instalacji elektrycznych domowych i podobnych -- Część 1: Wymagania ogólne,PN-EN 60669-1:2018-04,"{'PN-EN 60669-1:2006/Ap1:2009', 'PN-EN 60669-1:2006/A2:2008', 'PN-EN 60669-1:2006', 'PN-EN 60669-1:2006/IS1:2009'}"
Łączniki do stałych instalacji elektrycznych domowych i podobnych -- Część 2-1: Wymagania szczegółowe -- Łączniki elektroniczne,PN-EN 60669-2-1:2007,{'PN-EN 60669-2-1:2005'}
Łączniki do stałych instalacji elektrycznych domowych i podobnych -- Część 2-2: Wymagania szczegółowe -- Elektromagnetyczne łączniki zdalnie sterowane (RCS),PN-EN 60669-2-2:2008,{'PN-EN 60669-2-2:2006'}
Łączniki do stałych instalacji elektrycznych domowych i podobnych -- Część 2-3: Wymagania szczegółowe -- Łączniki zwłoczne (TDS),PN-EN 60669-2-3:2008,{'PN-EN 60669-2-3:2006'}
Łączniki do stałych instalacji elektrycznych domowych i podobnych -- Część 2-4: Wymagania szczegółowe -- Łączniki izolacyjne,PN-EN 60669-2-4:2009,{'PN-EN 60669-2-4:2005'}
Łączniki do stałych instalacji elektrycznych domowych i podobnych -- Część 2-5: Wymagania szczegółowe -- Łączniki i osprzęt towarzyszący stosowany w domowych i budynkowych systemach elektronicznych (HBES),PN-EN 60669-2-5:2016-12,{'PN-EN 50428:2010'}
Łączniki do stałych instalacji elektrycznych domowych i podobnych -- Część 2-5: Wymagania szczegółowe -- Łączniki i osprzęt towarzyszący stosowany w domowych i budynkowych systemach elektronicznych (HBES),PN-EN 60669-2-5:2016-12,{'PN-EN 50428:2010'}
Łączniki do stałych instalacji elektrycznych domowych i podobnych -- Część 2-6: Wymagania szczegółowe -- Łączniki pożarowe do znaków i opraw oświetleniowych zewnętrznych i wnętrzowych,PN-EN 60669-2-6:2012,{'PN-EN 50425:2008'}
Łączniki do stałych instalacji elektrycznych domowych i podobnych -- Część 2-6: Wymagania szczegółowe -- Łączniki pożarowe do znaków i opraw oświetleniowych zewnętrznych i wnętrzowych,PN-EN 60669-2-6:2012,{'PN-EN 50425:2008'}
Puszki i obudowy do sprzętu elektroinstalacyjnego do stałych instalacji elektrycznych domowych i podobnych -- Część 1: Wymagania ogólne,PN-EN 60670-1:2007,{'PN-EN 60670-1:2005'}
Puszki i obudowy do sprzętu elektroinstalacyjnego do stałych instalacji elektrycznych domowych i podobnych -- Część 21: Wymagania szczegółowe dotyczące puszek i obudów dostosowanych do elementów do zawieszania,PN-EN 60670-21:2009,{'PN-EN 60670-21:2007'}
Puszki i obudowy do sprzętu elektroinstalacyjnego do stałych instalacji elektrycznych domowych i podobnych -- Część 22: Wymagania szczegółowe dotyczące puszek łączeniowych i obudów,PN-EN 60670-22:2009,{'PN-EN 60670-22:2007'}
Puszki i obudowy do sprzętu elektroinstalacyjnego do stałych instalacji elektrycznych domowych i podobnych -- Część 23: Wymagania szczegółowe dotyczące puszek i obudów podłogowych,PN-EN 60670-23:2010,{'PN-EN 60670-23:2009'}
Puszki i obudowy do sprzętu elektroinstalacyjnego do stałych instalacji elektrycznych domowych i podobnych -- Część 24: Wymagania szczegółowe dotyczące obudów do domowych urządzeń zabezpieczających i innego sprzętu elektrycznego z mocą rozpraszaną,PN-EN 60670-24:2013-10,set()
Puszki i obudowy do sprzętu elektroinstalacyjnego do stałych instalacji elektrycznych domowych i podobnych -- Część 24: Wymagania szczegółowe dotyczące obudów do domowych urządzeń zabezpieczających i innego sprzętu elektrycznego z wydzielaną mocą rozpraszaną,PN-EN 60670-24:2013-10,set()
Elektryczne ogrzewacze pomieszczeń do użytku domowego -- Metody pomiaru cech funkcjonalnych,PN-EN 60675:2004,{'PN-EN 60675:2002'}
Przemysłowe urządzenia elektrotermiczne -- Metody badań pieców z łukiem bezpośrednim,PN-EN 60676:2012,{'PN-EN 60676:2004'}
Metoda pomiaru temperatury spłaszcza żarówek ze szkła kwarcowego,PN-EN 60682:2002,set()
Przemysłowe urządzenia elektrotermiczne -- Metody badań pieców z łukiem zakrytym,PN-EN 60683:2012,{'PN-E-06205:1992'}
Bezpieczniki termiczne -- Wymagania i przewodnik stosowania,PN-EN 60691:2016-12,"{'PN-EN 60691:2003', 'PN-EN 60691:2003/A2:2010', 'PN-EN 60691:2003/A1:2007'}"
Metody badań dotyczące urządzeń elektrotermicznych z wyrzutniami elektronowymi,PN-EN 60703:2009,set()
Elektryczne przyrządy do użytku domowego i podobnego -- Procedura badania hałasu -- Część 1: Wymagania ogólne,PN-EN 60704-1:2010,"{'PN-EN 60704-1:2002', 'PN-EN 60704-1:2000'}"
Elektryczne przyrządy do użytku domowego i podobnego -- Procedura badania hałasu -- Część 2-1: Wymagania szczegółowe dotyczące odkurzaczy,PN-EN 60704-2-1:2015-02,{'PN-EN 60704-2-1:2004'}
Elektryczne przyrządy do użytku domowego i podobnego -- Procedura badania hałasu --Część 2-2: Wymagania szczegółowe dla ogrzewaczy nawiewowych,PN-EN 60704-2-2:2010,{'PN-EN 60704-2-2:2002'}
Elektryczne przyrządy do użytku domowego i podobnego -- Procedura badania hałasu -- Część 2-3: Wymagania szczegółowe dla zmywarek do naczyń,PN-EN 60704-2-3:2003,{'PN-EN 60704-2-3:2002'}
Elektryczne przyrządy do użytku domowego i podobnego -- Procedura badania hałasu -- Część 2-4: Wymagania szczegółowe dotyczące pralek i wirówek do bielizny,PN-EN 60704-2-4:2012,{'PN-EN 60704-2-4:2004'}
Elektryczne przyrządy do użytku domowego i podobnego -- Procedura badania hałasu -- Część 2-5: Wymagania szczegółowe dotyczące akumulacyjnych ogrzewaczy pomieszczeń,PN-EN 60704-2-5:2005,{'PN-EN 60704-2-5:2002'}
Elektryczne przyrządy do użytku domowego i podobnego -- Procedura badania hałasu -- Część 2-6: Wymagania szczegółowe dotyczące suszarek bębnowych,PN-EN 60704-2-6:2013-04,{'PN-EN 60704-2-6:2005'}
Elektryczne przyrządy do użytku domowego i podobnego -- Procedura badania hałasu -- Część 2-7: Wymagania szczegółowe dla wentylatorów,PN-EN 60704-2-7:2002,{'PN-EN 60704-2-7:2002'}
Hałas elektrycznych przyrządów do użytku domowego i podobnego -- Procedura badania hałasu -- Część 2-8: Wymagania szczegółowe dla golarek,PN-EN 60704-2-8:2002,set()
Elektryczne przyrządy do użytku domowego i podobnego -- Procedura badania hałasu -- Część 2-9: Wymagania szczegółowe dotyczące elektrycznych urządzeń do pielęgnacji włosów,PN-EN 60704-2-9:2004,set()
"Elektryczne przyrządy do użytku domowego i podobnego -- Procedura badania hałasu -- Część 2-10: Wymagania szczegółowe dla elektrycznych kuchni, piekarników, opiekaczy, kuchenek mikrofalowych i urządzeń kombinowanych",PN-EN 60704-2-10:2012,{'PN-EN 60704-2-10:2005'}
Elektryczne przyrządy do użytku domowego i podobnego -- Procedura badania hałasu -- Część 2-11: Wymagania szczegółowe dla elektrycznych przyrządów do przygotowywania żywności,PN-EN 60704-2-11:2002,{'PN-EN 60704-2-11:2002'}
Elektryczne przyrządy do użytku domowego i podobnego -- Procedura badania hałasu -- Część 2-13: Wymagania szczegółowe dla okapów nadkuchennych i innych wyciągów oparów kuchennych,PN-EN 60704-2-13:2017-02,{'PN-EN 60704-2-13:2011'}
"Elektryczne przyrządy do użytku domowego i podobnego -- Procedura badania hałasu -- Część 2-14: Wymagania szczegółowe dotyczące chłodziarek, urządzeń do przechowywania zamrożonej żywności i zamrażarek",PN-EN 60704-2-14:2013-10,{'PN-EN 28960:2011'}
Hałas elektrycznego sprzętu do użytku domowego i podobnego -- Część 3: Procedura określania i weryfikowania deklarowanych wartości emisji hałasu,PN-EN 60704-3:2006,{'PN-EN 60704-3:2000'}
Domowe kuchenki mikrofalowe -- Metody badań cech funkcjonalnych,PN-EN 60705:2015-06,"{'PN-EN 60705:2012/A1:2014-11', 'PN-EN 60705:2012'}"
Elektryczny sprzęt do użytku domowego -- Cechy funkcjonalne -- Woda do badań,PN-EN 60734:2013-04,{'PN-EN 60734:2003'}
"Prace pod napięciem -- Terminologia dotycząca narzędzi, urządzeń i sprzętu",PN-EN 60743:2014-02,"{'PN-EN 60743:2005', 'PN-EN 60743:2005/A1:2010'}"
"Narzędzia ręczne o napędzie elektrycznym -- Bezpieczeństwo użytkowania -- Część 2-3: Wymagania szczegółowe dotyczące szlifierek, polerek i szlifierek dyskowych",PN-EN 60745-2-3:2011,"{'PN-EN 60745-2-3:2007', 'PN-EN 60745-2-3:2007/A11:2010'}"
Narzędzia ręczne o napędzie elektrycznym -- Bezpieczeństwo użytkowania -- Część 2-6: Wymagania szczegółowe dotyczące młotków,PN-EN 60745-2-6:2010,"{'PN-EN 60745-2-6:2006', 'PN-EN 60745-2-6:2006/A11:2009', 'PN-EN 60745-2-6:2006/A2:2009', 'PN-EN 60745-2-6:2006/A1:2009'}"
Narzędzia ręczne o napędzie elektrycznym -- Bezpieczeństwo użytkowania -- Część 2-12: Wymagania szczegółowe dotyczące wibratorów do masy betonowej,PN-EN 60745-2-12:2009,"{'PN-EN 60745-2-12:2004/A1:2009', 'PN-EN 60745-2-12:2004'}"
Narzędzia ręczne o napędzie elektrycznym -- Bezpieczeństwo użytkowania -- Część 2-13: Wymagania szczegółowe dotyczące pilarek łańcuchowych,PN-EN 60745-2-13:2009,{'PN-EN 60745-2-13:2007'}
Narzędzia ręczne o napędzie elektrycznym -- Bezpieczeństwo użytkowania -- Część 2-15: Wymagania szczegółowe dotyczące nożyc do żywopłotów,PN-EN 60745-2-15:2009,{'PN-EN 60745-2-15:2008'}
Narzędzia ręczne o napędzie elektrycznym -- Bezpieczeństwo użytkowania -- Część 2-16: Wymagania szczegółowe dotyczące zszywaczy,PN-EN 60745-2-16:2011,{'PN-EN 50144-2-16:2007'}
Narzędzia ręczne o napędzie elektrycznym -- Bezpieczeństwo użytkowania -- Część 2-18: Wymagania szczegółowe dotyczące urządzeń do taśmowania,PN-EN 60745-2-18:2009,"{'PN-EN 60745-2-18:2005/A11:2007', 'PN-EN 60745-2-18:2005', 'PN-EN 60745-2-18:2005/AC:2008', 'PN-EN 60745-2-18:2005/AC:2006', 'PN-EN 60745-2-18:2005/A1:2008'}"
Narzędzia ręczne o napędzie elektrycznym -- Bezpieczeństwo użytkowania -- Część 2-19: Wymagania szczegółowe dotyczące frezarek do rowków,PN-EN 60745-2-19:2009,"{'PN-EN 60745-2-19:2005/A11:2007', 'PN-EN 60745-2-19:2005'}"
Narzędzia ręczne o napędzie elektrycznym -- Bezpieczeństwo użytkowania -- Część 2-20: Wymagania szczegółowe dotyczące pilarek taśmowych,PN-EN 60745-2-20:2009,"{'PN-EN 60745-2-20:2007/A1:2009', 'PN-EN 60745-2-20:2007/A11:2009', 'PN-EN 60745-2-20:2007'}"
Narzędzia ręczne o napędzie elektrycznym -- Bezpieczeństwo użytkowania -- Część 2-22: Wymagania szczegółowe dotyczące przecinarek,PN-EN 60745-2-22:2011,set()
Narzędzia ręczne o napędzie elektrycznym -- Bezpieczeństwo użytkowania -- Część 2-23: Wymagania szczegółowe dotyczące szlifierek i małych narzędzi wirujących,PN-EN 60745-2-23:2013-10,set()
Przemysłowe urządzenia elektrotermiczne -- Metody badań pieców do przetapiania elektrożużlowego,PN-EN 60779:2010,{'PN-EN 60779:2006'}
Sprzęt elektroinstalacyjny -- Przewody przyłączeniowe i przewody pośredniczące,PN-EN 60799:2004,{'PN-EN 60799:2002'}
"Lampy do pojazdów drogowych -- Wymagania wymiarowe, elektryczne i świetlne",PN-EN 60809:2015-07,"{'PN-EN 60809:2002/A2:2003', 'PN-EN 60809:2002/A3:2005', 'PN-EN 60809:2002/A4:2009', 'PN-EN 60809:2002/A5:2013-04', 'PN-EN 60809:2002'}"
"Lampy, źródła światła i moduły LED do pojazdów drogowych -- Wymagania funkcjonalne",PN-EN IEC 60810:2018-04,"{'PN-EN 60810:2015-07', 'PN-EN 60810:2015-07/A1:2017-08'}"
"Kondensatory samoregenerujące do równoległej kompensacji mocy biernej w sieciach elektroenergetycznych prądu przemiennego o napięciu znamionowym do 1 000 V włącznie -- Część 1: Wymagania ogólne -- Wykonanie, badania i ocena -- Wymagania dotyczące bezpieczeństwa -- Wytyczne instalowania i użytkowania",PN-EN 60831-1:2014-10,"{'PN-EN 60831-1:2000/Ap1:2002', 'PN-EN 60831-1:2000', 'PN-EN 60831-1:2000/A1:2004'}"
"Kondensatory samoregenerujące do równoległej kompensacji mocy biernej w sieciach elektroenergetycznych prądu przemiennego o napięciu znamionowym do 1 000 V włącznie -- Część 2: Próba starzenia, próba samoregeneracji i próba zniszczenia",PN-EN 60831-2:2014-09,"{'PN-EN 60831-2:2000/Ap1:2002', 'PN-EN 60831-2:2000'}"
Prace pod napięciem -- Drążki izolacyjne i narzędzia wymienne -- Część 1: Drążki izolacyjne,PN-EN 60832-1:2010,{'PN-EN 60832:2002'}
Prace pod napięciem -- Drążki izolacyjne i narzędzia wymienne -- Część 1: Drążki izolacyjne,PN-EN 60832-1:2010,{'PN-EN 60832:2002'}
Prace pod napięciem -- Drążki izolacyjne i narzędzia wymienne -- Część 2: Narzędzia wymienne,PN-EN 60832-2:2010,{'PN-EN 60832:2002'}
Różnorodne oprawki lampowe -- Część 1: Wymagania ogólne i badania,PN-EN 60838-1:2017-07,"{'PN-EN 60838-1:2008', 'PN-EN 60838-1:2008/A1:2009', 'PN-EN 60838-1:2008/A2:2011'}"
Różnorodne oprawki lampowe -- Część 2-1: Wymagania szczegółowe -- Oprawki S14,PN-EN 60838-2-1:2002,set()
Różnorodne oprawki lampowe -- Część 2-2: Wymagania szczegółowe -- Złącza do modułów LED,PN-EN 60838-2-2:2007,{'PN-EN 60838-2-2:2006'}
Różnorodne oprawki lampowe -- Część 2-3: Wymagania szczegółowe -- Oprawki lampowe do dwutrzonkowych liniowych lamp LED,PN-EN 60838-2-3:2017-07,set()
Prace pod napięciem -- Rury izolacyjne wypełnione pianką i pręty pełne -- Część 1: Rury i pręty o przekroju kołowym,PN-EN 60855-1:2017-04,{'PN-EN 60855:1999'}
Prądy zwarciowe -- Obliczanie skutków działania prądów zwarciowych -- Część 1: Definicje i metody obliczania,PN-EN 60865-1:2012,{'PN-EN 60865-1:2002'}
Kondensatory do równoległej kompensacji mocy biernej w sieciach elektroenergetycznych prądu przemiennego o napięciu znamionowym powyżej 1 000 V -- Część 1: Postanowienia ogólne,PN-EN 60871-1:2014-12,{'PN-EN 60871-1:2008'}
Kondensatory do równoległej kompensacji mocy biernej w sieciach elektroenergetycznych prądu przemiennego o napięciu znamionowym powyżej 1 000 V -- Część 4: Bezpieczniki wewnętrzne,PN-EN 60871-4:2014-12,{'PN-EN 60871-4:2001'}
Elementy fotowoltaiczne -- Procedury dla korekcji zmierzonych charakterystyk I-V do określonych wartości temperatury i natężenia promieniowania,PN-EN 60891:2010,{'PN-EN 60891:2002'}
Prace pod napięciem -- Ubiory przewodzące do stosowania przy nominalnych napięciach przemiennych do 800 kV i napięciach stałych do +- 600 kV,PN-EN 60895:2006,{'PN-EN 60895:2004'}
Baterie ołowiowe stacjonarne -- Część 11: Typy otwarte -- Ogólne wymagania i metody badań,PN-EN 60896-11:2007,{'PN-EN 60896-11:2003'}
Baterie ołowiowe stacjonarne -- Część 21: Typy wyposażone w zawory -- Metody badań,PN-EN 60896-21:2007,{'PN-EN 60896-21:2005'}
Baterie ołowiowe stacjonarne -- Część 22: Typy wyposażone w zawory -- Wymagania,PN-EN 60896-22:2007,{'PN-EN 60896-22:2005'}
Sprzęt elektroinstalacyjny -- Wyłączniki do zabezpieczeń przetężeniowych instalacji domowych i podobnych -- Część 1: Wyłączniki do obwodów prądu przemiennego,PN-EN 60898-1:2019-02,"{'PN-EN 60898-1:2007/IS2:2008', 'PN-EN 60898-1:2007/Ap1:2016-05', 'PN-EN 60898-1:2007/A13:2012', 'PN-EN 60898-1:2007/IS4:2008', 'PN-EN 60898-1:2007', 'PN-EN 60898-1:2007/IS3:2008', 'PN-EN 60898-1:2007/A12:2008', 'PN-EN 60898-1:2007/IS1:2008'}"
Sprzęt elektroinstalacyjny -- Wyłączniki do zabezpieczeń przetężeniowych instalacji domowych i podobnych -- Część 2: Wyłączniki do obwodów prądu przemiennego i prądu stałego,PN-EN 60898-2:2008,{'PN-EN 60898-2:2006'}
Prace pod napięciem -- Narzędzia ręczne do stosowania przy napięciu przemiennym do 1 000 V i napięciu stałym do 1 500 V,PN-EN IEC 60900:2018-10,{'PN-EN 60900:2012'}
Świetlówki jednotrzonkowe -- Wymagania funkcjonalne,PN-EN 60901:2002,{'PN-EN 60901:2002'}
Prace pod napięciem -- Rękawice z materiału izolacyjnego,PN-EN 60903:2006,{'PN-EN 60903:2004'}
Elementy fotowoltaiczne -- Część 1: Pomiar charakterystyk prądowo-napięciowych elementów fotowoltaicznych,PN-EN 60904-1:2007,{'PN-EN 60904-1:2002'}
Elementy fotowoltaiczne -- Część 1-1: Pomiar charakterystyk prądowo-napięciowych wielozłączowych elementów fotowoltaicznych (PV),PN-EN 60904-1-1:2017-12,set()
Elementy fotowoltaiczne -- Część 2: Wymagania dotyczące fotowoltaicznych elementów wzorcowych,PN-EN 60904-2:2015-07,{'PN-EN 60904-2:2008'}
Elementy fotowoltaiczne -- Część 3: Zasady pomiaru fotowoltaicznych (PV) elementów słonecznych przeznaczonych do zastosowań naziemnych z wykorzystaniem wzorcowego widma promieniowania słonecznego,PN-EN 60904-3:2016-11,{'PN-EN 60904-3:2008'}
Elementy fotowoltaiczne -- Część 4: Elementy wzorcowe do pomiaru nasłonecznienia -- Procedury zapewniające spójność procesu kalibracji,PN-EN 60904-4:2010,set()
Elementy fotowoltaiczne -- Część 5: Wyznaczanie równoważnej temperatury ogniwa (ECT) elementów fotowoltaicznych (PV) metodą pomiaru napięcia obwodu otwartego,PN-EN 60904-5:2011,{'PN-EN 60904-5:2002'}
Elementy fotowoltaiczne -- Część 7: Obliczanie korekty niedopasowania spektralnego w pomiarach elementów fotowoltaicznych,PN-EN 60904-7:2009,{'PN-EN 60904-7:2007'}
Elementy fotowoltaiczne -- Część 8: Pomiar odpowiedzi widmowej elementu fotowoltaicznego (PV),PN-EN 60904-8:2014-12,{'PN-EN 60904-8:2007'}
Elementy fotowoltaiczne -- Część 8-1: Pomiar odpowiedzi widmowej wielozłączowych elementów fotowoltaicznych (PV),PN-EN 60904-8-1:2017-12,set()
Elementy fotowoltaiczne -- Część 9: Wymagania dla symulatorów promieniowania słonecznego,PN-EN 60904-9:2008,set()
Elementy fotowoltaiczne -- Część 10: Metody pomiaru liniowości,PN-EN 60904-10:2010,{'PN-EN 60904-10:2002'}
Prądy zwarciowe w sieciach trójfazowych prądu przemiennego -- Część 0: Obliczanie prądów,PN-EN 60909-0:2016-09,{'PN-EN 60909-0:2002'}
"Prądy zwarciowe w sieciach trójfazowych prądu przemiennego -- Część 3: Prądy podwójnych, jednoczesnych i niezależnych, zwarć doziemnych i częściowe prądy zwarciowe płynące w ziemi",PN-EN 60909-3:2010,{'PN-EN 60909-3:2004'}
Stateczniki do świetlówek -- Wymagania funkcjonalne,PN-EN 60921:2005,{'PN-EN 60921:2002'}
Urządzenia pomocnicze do lamp -- Stateczniki do lamp wyładowczych (z wyłączeniem świetlówek) -- Wymagania funkcjonalne,PN-EN 60923:2006,"{'PN-EN 60923:2002/A1:2005', 'PN-EN 60923:2002'}"
Urządzenia pomocnicze do lamp -- Urządzenia zapłonowe (inne niż zapłonniki tlące) -- Wymagania funkcjonalne,PN-EN 60927:2007,"{'PN-EN 60927:2002', 'PN-EN 60927:2002/A2:2005'}"
Elektroniczne urządzenia sterujące prądu przemiennego i/lub stałego do świetlówek -- Wymagania funkcjonalne,PN-EN 60929:2011,"{'PN-EN 60929:2006/AC:2007', 'PN-EN 60929:2006'}"
"Kondensatory niesamoregenerujące do równoległej kompensacji mocy biernej w sieciach elektroenergetycznych prądu przemiennego o napięciu znamionowym do 1 kV włącznie -- Wymagania ogólne -- Wykonanie, badania i ocena -- Wymagania dotyczące bezpieczeństwa -- Wytyczne instalowania i użytkowania",PN-EN 60931-1:2000,{'PN-E-06090:1987'}
Kondensatory niesamoregenerujące do równoległej kompensacji mocy biernej w sieciach elektroenergetycznych prądu przemiennego o napięciu znamionowym do 1 kV włącznie -- Próba starzenia i próba zniszczenia,PN-EN 60931-2:2000,{'PN-E-06090:1987'}
Kondensatory niesamoregenerujące do równoległej kompensacji mocy biernej w sieciach elektroenergetycznych prądu przemiennego o napięciu znamionowym do 1 kV włącznie -- Bezpieczniki wewnętrzne,PN-EN 60931-3:2000,{'PN-E-06090:1987'}
Wyłączniki do urządzeń (CBE),PN-EN 60934:2004,{'PN-EN 60934:2002'}
Baterie akumulatorowe lotnicze -- Część 1: Wymagania ogólne dotyczące badań i poziomy własności,PN-EN 60952-1:2014-02,{'PN-EN 60952-1:2010'}
Baterie akumulatorowe lotnicze -- Część 2: Wymagania projektowe i konstrukcyjne,PN-EN 60952-2:2014-02,{'PN-EN 60952-2:2005'}
Baterie akumulatorowe lotnicze -- Część 3: Specyfikacja wyrobu i deklaracja dotycząca modelu i jego działania (DDP),PN-EN 60952-3:2014-02,{'PN-EN 60952-3:2005'}
Świetlówki samostatecznikowe do ogólnych celów oświetleniowych -- Wymagania bezpieczeństwa,PN-EN 60968:2015-12,"{'PN-EN 60968:2013-06/A11:2014-11', 'PN-EN 60968:2013-06'}"
Lampy samostatecznikowe do ogólnych celów oświetleniowych -- Wymagania funkcjonalne,PN-EN 60969:2002,set()
Żarówki miniaturowe,PN-EN 60983:2000,set()
Rękawy z materiału izolacyjnego do prac pod napięciem,PN-EN 60984:1998,set()
Elektrolit do otwartych ogniw niklowo-kadmowych,PN-EN 60993:2003,set()
Osprzęt połączeniowy do obwodów niskiego napięcia do użytku domowego i podobnego -- Część 1: Wymagania ogólne,PN-EN 60998-1:2006,"{'PN-EN 60998-1:2001', 'PN-EN 60998-1:2005'}"
Osprzęt połączeniowy do obwodów niskiego napięcia do użytku domowego i podobnego -- Część 2-1: Wymagania szczegółowe dotyczące samodzielnych złączek z gwintowymi elementami zaciskowymi,PN-EN 60998-2-1:2006,"{'PN-EN 60998-2-1:2005', 'PN-EN 60998-2-1:2001'}"
Osprzęt połączeniowy do obwodów niskiego napięcia do użytku domowego i podobnego -- Część 2-2: Wymagania szczegółowe dotyczące samodzielnych złączek z bezgwintowymi elementami zaciskowymi,PN-EN 60998-2-2:2006,"{'PN-EN 60998-2-2:2005', 'PN-EN 60998-2-2:1999'}"
Osprzęt połączeniowy do obwodów niskiego napięcia do użytku domowego i podobnego -- Część 2-3: Wymagania szczegółowe dotyczące samodzielnych złączek z ostrzowymi elementami zaciskowymi,PN-EN 60998-2-3:2007,"{'PN-IEC 998-2-3:1997', 'PN-EN 60998-2-3:2005', 'PN-IEC 998-2-3:1997/Ap1:2002'}"
Osprzęt połączeniowy do obwodów niskiego napięcia do użytku domowego i podobnego -- Część 2-4: Wymagania szczegółowe dotyczące złączek skrętnych,PN-EN 60998-2-4:2007,"{'PN-IEC 998-2-4:1997', 'PN-EN 60998-2-4:2005', 'PN-IEC 998-2-4:1997/Ap1:1999'}"
"Osprzęt połączeniowy -- Miedziane przewody elektryczne -- Wymagania bezpieczeństwa dotyczące gwintowych i bezgwintowych elementów zaciskowych -- Część 1: Wymagania ogólne i wymagania szczegółowe dotyczące elementów zaciskowych do przewodów od 0,2 mm2 do 35 mm2 (włącznie)",PN-EN 60999-1:2002,set()
Wyłączniki różnicowoprądowe bez wbudowanego zabezpieczenia nadprądowego do użytku domowego i podobnego (RCCB) -- Część 1: Postanowienia ogólne,PN-EN 61008-1:2013-05,"{'PN-EN 61008-1:2007/A12:2009', 'PN-EN 61008-1:2007/A11:2007', 'PN-EN 61008-1:2007/A13:2012', 'PN-EN 61008-1:2007', 'PN-EN 61008-1:2007/IS1:2008'}"
